"EA3AKS-8","ea3aks.org","41112","CLX"
"EA3CV-2","dxcluster.cronux.net","7300","DX Spider"
"EA3CV-3","149.202.47.39","7303","DX Spider"
"EA4FIT-2","ea4fit.ddns.net","8000","DX Spider"
"EA4FIT-5","ea4fit.ddns.net","9000","CC Cluster"
"EA4RCH-5","dxfun.com","8000","DX Spider"
"EA4RCR-2","148.135.96.171","7300","DX Spider"
"EA4RCU-5","ea4rcu.sytes.net","7300","DX Spider"
"EA4RH-5","dx.radiocq.com","8000","DX Spider"
"EA4URE-2","ea4ure.com","7300","DX Spider"
"EA4URE-5","ea4ure.com","7300","DX Spider"
"EA5CW-5","proystel.com","8000","DX Spider"
"EA5RCG-5","cluster.ea5rcg.org","8000","DX Spider"
"EA5URA","ea5ura.sytes.net","9000","AR-Cluster"
"EA5URA-5","ea5ura.sytes.net","8000","DX Spider"
"EA5URM-5","ea5urm.dns2go.com","7000","DX Spider"
"EA5WU-1","65.21.110.171","7300","DX Spider"
"EA6VQ-1","dxmaps.com","7300","DX Spider"
"EA7JXH","dx.ea7jxh.eu","7300","CC Cluster"
"EA7JXH-6","dx.ea7jxh.eu","7600","DX Spider"
"EA7URM-5","dx.ea7urm.org","8000","DX Spider"
"EA8URL-2","ea8url.ddns.net","7300","DX Spider"
"ED1ZAC-5","dx.ed1zac.net","8000","DX Spider"
"ED1ZAJ-5","44.31.192.212","8000","DX Spider"
"ED3ZAG-5","ed3zag.no-ip.com","8000","DX Spider"
"ED3ZAG-8","ed3zag.no-ip.com","41112","CLX"
"ED3ZAK-5","ed3zak-5.ddns.net","8000","DX Spider"
"EI7MRE","mayodx.ath.cx","7300","DX Spider"
"EI7SDX","shandx.ath.cx","5000","DX Spider"
"EI7WDX","dxc.ei7wdx.net","7300","DX Spider"
"ES3V-3","dxc.es3v.ee","7300","DX Spider"
"EW8AX-1","eu8t.by","7299","DX Spider"
"F1FCA-2","f1fca.freeboxos.fr","7300","DX Spider"
"F1LED-2","cluster.f1led.fr","7300","DX Spider"
"F1MAC-3","82.66.180.94","9000","DX Spider"
"F1MAC-6","82.66.180.94","7300","DX Spider"
"F1MAC-7","ff0mac.dyndns.org","23","CC Cluster"
"F1MAC-8","f0mac.hopto.org","7373","CC Cluster"
"F3KT-3","f3kt.no-ip.org","7300","DX Spider"
"F4BPO-1","cluster.f4bpo.com","7300","CC Cluster"
"F4BPO-2","cluster.f4bpo.com","7373","DX Spider"
"F4BWT-3","82.64.40.245","7300","DX Spider"
"F4BWT-7","44.168.18.82","7300","DX Spider"
"F4ERG-3","f4erg.hd.free.fr","7300","DX Spider"
"F4EYQ-1","51.255.101.29","7300","DX Spider"
"F4GVE-2","dxcluster.f4gve.net","7300","DX Spider"
"F4IAA-3","dxc.f4iaa.fr","7300","DX Spider"
"F5LEN-3","dxcluster.f5len.org","7373","DX Spider"
"F5MZN-3","f5mzn.org","9000","DX Spider"
"F5UGQ-2","dxspider.sysinf.fr","7300","DX Spider"
"F6BHK-1","78.198.83.131","8000","DX Spider"
"F6BVP-3","f6bvp.org","7300","DX Spider"
"F6FGZ-3","clx.lunique.fr","9000","CLX"
"F6GCP-3","f6gcp-pat.ddns.net","7300","DX Spider"
"F6KDF-8","f6kdf.ath.cx","7300","DX Spider"
"F6KVP-3","dxcluster.arp75.org","7373","DX Spider"
"F8COJ-3","f8coj.no-ip.org","7300","DX Spider"
